TARGETID,Z_1,TARGET_RA_1,TARGET_DEC_1,SURVEY
2349896594096129,0.5301705708821667,143.7758,-2.0088,main
2349896627650561,1.404048110125006,145.8657,-1.9144,main
2349896740896768,0.47686265614958,152.52641599999995,-1.965772,main
2349896740896769,0.2957447653646373,152.5272,-1.9658,main
2349896745091072,0.2041570358004108,152.8042,-2.0432,main
2349896745091073,0.20448201069375313,152.8034,-2.0441,main
2349897160327169,1.0168544795738028,177.739,-1.8878,main
2349897185492992,0.9982780738493668,179.1289,-2.0077,main
2349897185492993,0.9988946900310762,179.1289,-2.0075,main
2349897944662017,0.5258881570293902,224.386,-1.9882,main
2349900322832384,0.6822081399145443,6.2198699999999985,-1.8426,main
2349900322832385,0.8592465395397363,6.2198,-1.8432,main
2349900352192513,1.33473586848554,7.8633,-1.7232,main
2349900826148865,0.5873486077589812,36.0934,-1.8296,main
2349902671642625,0.2852888253754736,146.0032,-1.8296,main
2349903170764801,1.3876318464696176,175.797,-1.6596,main
2349903183347712,0.3634909093695295,176.5881,-1.6812,main
2349903183347713,0.1459165642532209,176.5886,-1.6817,main
2349903212707840,0.1363453908100598,178.3789,-1.7345,main
2349903212707841,0.41673646954288984,178.3801,-1.7268,main
2349903380480000,0.7770996372503925,188.2622,-1.735,main
2349903380480001,0.06767589409619153,188.261,-1.7371,main
2349903661498369,1.6788776865783333,205.2436,-1.8553,main
2349903963488257,1.6582376311559257,223.0733,-1.7878,main
2349904219340801,1.2851171536475021,238.4097,-1.709,main
2349904378724353,0.6209844841251179,247.9953,-1.6676,main
2349905557323776,0.22400815638296184,318.0377,-1.7568,main
2349905557323777,1.1091751746913183,318.0366,-1.7562,main
2349906496847872,0.7168529203000233,14.0683,-1.3924,main
2349906698174464,0.5499784930496318,26.2450218,-1.593353,main
2349906773671937,0.7271986280066839,30.5442,-1.3774,main
2349906786254849,0.028767945098479953,31.32118966,-1.38884544,main
2349906928861185,0.3279338471816002,39.9268189,-1.4640409,main
2349908807909377,0.7911634863556963,151.8004,-1.3877,main
2349909281865728,0.8569274508336073,180.2219,-1.5661,main
2349909281865729,0.5449870112054853,180.2223,-1.5661,main
2349909315420161,0.4545480656835806,182.0272,-1.3764,main
2349909332197377,0.9886515413787043,183.0993,-1.5521,main
2349909718073345,0.31641685373116285,206.0995,-1.6075,main
2349909839708160,1.0899240093558944,213.498,-1.5601,main
2349909839708161,0.877264770503773,213.4977,-1.5601,main
2349909915205633,0.6203053562205998,217.972034,-1.56513472,main
2349909931982848,0.2638938701229024,218.8286,-1.4239,main
2349909931982849,1.225447779619149,218.8288,-1.4240000000000002,main
2349910032646145,0.05071154579533519,224.7608,-1.3977,main
2349911945248769,1.6850440152739816,338.8835,-1.5938,main
2349911999774721,1.3181466181732449,342.15285760000006,-1.39286417,main
2349912473731073,0.11093937795393753,10.3633,-1.1303,main
2349912792498177,0.2032532108068303,29.4518,-1.1527,main
2349912922521601,0.3503296939969387,37.2059,-1.216,main
2349913404866561,1.2802320505350573,65.7963,-1.3505,main
2349914600243200,0.6903098715028985,137.093,-1.1312,main
2349914763821056,0.2387213065456267,146.8681,-1.1923,main
2349914763821057,0.4014037314650102,146.8672,-1.1917,main
2349914893844481,1.4303510688069934,154.6963,-1.3587,main
2349915346829312,0.5349265426701779,181.6291,-1.2413,main
2349915346829313,0.5350008719435138,181.6291,-1.2415,main
2349915363606529,1.265093155875127,182.5938,-1.1995,main
2349915535572993,0.8218815202630964,192.833,-1.2216,main
2349915619459072,0.18338117216561753,197.8729,-1.3411,main
2349915866923008,0.643165463079336,212.7039,-1.163,main
2349915866923009,0.41510823142963915,212.7037,-1.1628,main
2349915892088833,0.7053442028300744,214.1943,-1.3039,main
2349915975974913,0.09586718717996648,219.038,-1.3293,main
2349917632724993,0.23949047713378985,317.8289,-1.2421,main
2349918018600961,0.48777569168201707,340.779,-1.1306,main
2349918358339584,0.4569172773665826,1.2156,-1.0551,main
2349918358339585,1.6810485344431438,1.2156,-1.0559,main
2349918597414913,0.17358182623917104,15.3635,-0.9081,main
2349919016845313,0.8595552019764953,40.3041,-0.9639,main
2349919562104833,0.7512736548156073,72.8842,-1.0123,main
2349920560349184,0.3924591909402701,132.4954,-0.8851,main
2349920560349185,1.1931194434491452,132.4952,-0.8854,main
2349920623263744,0.9582016233775027,136.1239,-1.0412,main
2349920623263745,0.04559588012424494,136.1237,-1.0409,main
2349920694566913,0.4628349551284674,140.3521,-0.9741,main
2349920879116288,0.41975699539061034,151.3868,-1.0077,main
2349920879116289,0.0578624514699025,151.386,-1.0063,main
2349920879116291,0.15441176293896264,151.4765,-1.0655,main
2349921025916929,1.2097135670778345,160.2362,-1.0685,main
2349921344684032,0.4241239531558006,179.0547,-1.0339,main
2349921344684033,0.13062757559611216,179.0552,-1.0304,main
2349921361461248,0.6358333670232533,180.1889,-0.9614,main
2349921361461249,0.21892784465703538,180.1891,-0.9615,main
2349921390821377,1.4884670364972141,181.9299,-1.0649,main
2349921864777729,0.6943041314342567,210.1784,-1.0986,main
2349921910915072,0.9484680563558893,212.9021,-1.0377,main
2349921910915073,0.24301455680878697,212.9023,-1.038,main
2349922007384065,1.6612879916841654,218.7259,-0.9501,main
2349922082881537,0.22675931770628693,223.0002,-1.0743,main
2349922112241665,0.9380984377185739,224.9884,-0.9226,main
2349923697688577,0.42548478173556786,319.349,-0.9477,main
2349923718660097,0.9281803314350494,320.7174,-0.9976,main
2349923735437313,0.4637538245890224,321.7127,-0.974,main
2349924016455680,0.8842048430214509,338.3201,-1.0694,main
2349924016455681,0.9006163397100889,338.32,-1.0678,main
2349924029038592,0.8271660575093731,339.1096,-0.9002,main
2349924029038593,0.8264363258201987,339.1096,-0.9,main
2349924079370241,0.9589822970108518,342.0028,-1.0504,main
2349924511383553,0.15105346412058449,7.9617,-0.6814,main
2349924553326593,0.45201286507981187,10.2887,-0.7307,main
2349924662378497,1.181668579431272,16.8551,-0.7317,main
2349924821762049,0.9577429743750604,26.277142,-0.7282689999999999,main
2349924859510785,0.4364712414110831,28.6036,-0.6609999999999999,main
2349924872093697,0.5187204242806176,29.45895493,-0.63868128,main
2349924876288001,1.4472197215621505,29.6025,-0.6669,main
2349924926619649,1.5662041598939986,32.667,-0.6409,main
2349925060837377,0.47200588085199113,40.6772,-0.6483,main
2349925077614593,1.2723996734801115,41.55517800000001,-0.751967,main
2349925081808896,0.31290852786470214,41.99100000000001,-0.7425,main
2349925090197504,0.27206797035352653,42.2997,-0.8137,main
